,Performer,Song,Tag,Type
103,The Black Eyed Peas,I Gotta Feeling,Girls Night Out,Hits
104,The Black Eyed Peas,I Gotta Feeling,Sex,Hits
105,Linkin Park,New Divide,Empowering,Hits
106,Linkin Park,New Divide,Introspection,Hits
107,Linkin Park,New Divide,Reflection,Hits
108,Lady Antebellum,Just A Kiss,In Love,Hits
109,Lady Antebellum,Just A Kiss,New Love,Hits
110,Lady Antebellum,Just A Kiss,Slow Dance,Hits
111,"Drake Featuring Kanye West, Lil Wayne & Eminem",Forever,Cool & Cocky,Hits
112,"Drake Featuring Kanye West, Lil Wayne & Eminem",Forever,Guys Night Out,Hits
113,"Drake Featuring Kanye West, Lil Wayne & Eminem",Forever,Hanging Out,Hits
114,"Drake Featuring Kanye West, Lil Wayne & Eminem",Forever,Victory,Hits
115,Imagine Dragons,Believer,Pain,Hits
116,Taylor Swift,22,Girls Night Out,Hits
117,Taio Cruz Featuring Ludacris,Break Your Heart,Day Driving,Hits
118,Taio Cruz Featuring Ludacris,Break Your Heart,Seduction,Hits
119,Taio Cruz Featuring Ludacris,Break Your Heart,Breakup,Hits
120,Taio Cruz Featuring Ludacris,Break Your Heart,Heartache,Hits
121,Taio Cruz Featuring Ludacris,Break Your Heart,Heartbreak,Hits
122,Kelly Clarkson,Catch My Breath,Healing/Comfort,Hits
123,Kelly Clarkson,Catch My Breath,Hope,Hits
124,Kelly Clarkson,Catch My Breath,Late Night,Hits
125,Green Day,21 Guns,Feeling Blue,Hits
126,Green Day,21 Guns,Heartache,Hits
127,Green Day,21 Guns,Reflection,Hits
128,Green Day,21 Guns,Cool & Cocky,Hits
129,Green Day,21 Guns,Empowering,Hits
130,Green Day,21 Guns,Freedom,Hits
131,Green Day,21 Guns,Hanging Out,Hits
132,Rihanna Featuring Mikky Ekko,Stay,Heartache,Hits
133,Rihanna Featuring Mikky Ekko,Stay,Loss/Grief,Hits
134,Rihanna Featuring Mikky Ekko,Stay,Pain,Hits
135,OneRepublic,All The Right Moves,Freedom,Hits
136,OneRepublic,All The Right Moves,Motivation,Hits
137,OneRepublic,All The Right Moves,Victory,Hits
138,Beyonce,Best Thing I Never Had,New Love,Hits
139,Beyonce,Best Thing I Never Had,Reflection,Hits
140,Beyonce,Best Thing I Never Had,Wedding,Hits
141,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,In Love,Hits
142,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,Passion,Hits
143,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,Seduction,Hits
144,Maxwell,Pretty Wings,Heartache,Hits
145,Maxwell,Pretty Wings,Introspection,Hits
146,Maxwell,Pretty Wings,Regret,Hits
147,Maxwell,Pretty Wings,Romantic Evening,Hits
148,Maxwell,Pretty Wings,Comfort,Hits
149,Maxwell,Pretty Wings,Feeling Blue,Hits
150,Maxwell,Pretty Wings,Late Night,Hits
151,Maxwell,Pretty Wings,Breakup,Hits
152,Daughtry,No Surprise,Empowering,Hits
153,Daughtry,No Surprise,Hanging Out,Hits
154,Daughtry,No Surprise,Regret,Hits
155,Jerrod Niemann,"Lover, Lover",Breakup,Hits
156,Jerrod Niemann,"Lover, Lover",Freedom,Hits
157,Jerrod Niemann,"Lover, Lover",Heartache,Hits
158,The Fray,Never Say Never,Comfort,Hits
159,The Fray,Never Say Never,Introspection,Hits
160,The Fray,Never Say Never,Solitude,Hits
161,The Fray,Never Say Never,Feeling Blue,Hits
162,The Fray,Never Say Never,Heartache,Hits
163,The Fray,Never Say Never,Rainy Day,Hits
164,The Fray,Never Say Never,Reflection,Hits
165,Train,"Hey, Soul Sister",Hanging Out,Hits
166,Train,"Hey, Soul Sister",In Love,Hits
167,Train,"Hey, Soul Sister",Relaxation,Hits
168,Lady Antebellum,I Run To You,In Love,Hits
169,Portugal. The Man,Feel It Still,Politics/Society,Hits
170,Portugal. The Man,Feel It Still,Revolutionary,Hits
171,Beyonce,Halo,Comfort,Hits
172,Beyonce,Halo,Introspection,Hits
173,Beyonce,Halo,Reflection,Hits
174,Beyonce,Halo,Feeling Blue,Hits
175,Beyonce,Halo,Heartache,Hits
176,Beyonce,Halo,Solitude,Hits
177,Beyonce,Halo,In Love,Hits
178,Lady Antebellum,Need You Now,Drinking,Hits
179,Lady Antebellum,Need You Now,Heartache,Hits
180,Lady Antebellum,Need You Now,Reflection,Hits
181,Lady Antebellum,Need You Now,Breakup,Hits
182,Mariah Carey,Obsessed,D-I-V-O-R-C-E,Hits
183,Mariah Carey,Obsessed,Breakup,Hits
184,Mariah Carey,Obsessed,Girls Night Out,Hits
185,Ariana Grande,God Is A Woman,Sex,Hits
186,Colbie Caillat,Fallin' For You,Affection/Fondness,Hits
187,Colbie Caillat,Fallin' For You,Girls Night Out,Hits
188,Colbie Caillat,Fallin' For You,New Love,Hits
189,Ludacris,How Low,Guys Night Out,Hits
190,Ludacris,How Low,Sex,Hits
191,Drake,Find Your Love,Breakup,Hits
192,Drake,Find Your Love,Heartache,Hits
193,Drake,Find Your Love,In Love,Hits
194,Drake,Find Your Love,Reflection,Hits
195,Ellie Goulding,Love Me Like You Do,Club,Hits
196,Ellie Goulding,Love Me Like You Do,In Love,Hits
197,Ellie Goulding,Love Me Like You Do,Sex,Hits
198,Ludacris Featuring Nicki Minaj,My Chick Bad,Partying,Hits
199,Ludacris Featuring Nicki Minaj,My Chick Bad,TGIF,Hits
200,Ludacris Featuring Nicki Minaj,My Chick Bad,Cool & Cocky,Hits
201,Ludacris Featuring Nicki Minaj,My Chick Bad,Mischievous,Hits
202,Ludacris Featuring Nicki Minaj,My Chick Bad,Guys Night Out,Hits
203,Ludacris Featuring Nicki Minaj,My Chick Bad,Sex,Hits
204,The Black Eyed Peas,Imma Be,Cool & Cocky,Hits
205,The Black Eyed Peas,Imma Be,Empowering,Hits
206,The Black Eyed Peas,Imma Be,Motivation,Hits
207,The Black Eyed Peas,Imma Be,Partying,Hits
208,Lil Wayne Featuring Drake & Future,Love Me,Club,Hits
209,Lil Wayne Featuring Drake & Future,Love Me,Cool & Cocky,Hits
210,Lil Wayne Featuring Drake & Future,Love Me,Sex,Hits
211,Daddy Yankee,Dura,At the Beach,Hits
212,Daddy Yankee,Dura,In Love,Hits
213,Daddy Yankee,Dura,New Love,Hits
214,The Black Eyed Peas,Boom Boom Pow,Partying,Hits
215,The Black Eyed Peas,Boom Boom Pow,TGIF,Hits
216,The Black Eyed Peas,Boom Boom Pow,Club,Hits
217,The Black Eyed Peas,Boom Boom Pow,Empowering,Hits
218,The Black Eyed Peas,Boom Boom Pow,Motivation,Hits
219,Rihanna,Rude Boy,Cool & Cocky,Hits
220,Rihanna,Rude Boy,Freedom,Hits
221,Rihanna,Rude Boy,Girls Night Out,Hits
222,Rihanna,Rude Boy,Seduction,Hits
223,Kelly Clarkson,Stronger (What Doesn't Kill You),Breakup,Hits
224,Kelly Clarkson,Stronger (What Doesn't Kill You),Empowering,Hits
225,Kelly Clarkson,Stronger (What Doesn't Kill You),Girls Night Out,Hits
226,Orianthi,According To You,Girls Night Out,Hits
227,Orianthi,According To You,Heartache,Hits
228,Orianthi,According To You,Breakup,Hits
229,Orianthi,According To You,Empowering,Hits
230,Orianthi,According To You,Feeling Blue,Hits
231,Orianthi,According To You,Freedom,Hits
232,Kelly Clarkson,Already Gone,Breakup,Hits
233,Kelly Clarkson,Already Gone,Freedom,Hits
234,Kelly Clarkson,Already Gone,Heartache,Hits
235,Lady Gaga,Alejandro,Heartache,Hits
236,Lady Gaga,Alejandro,In Love,Hits
237,Maroon 5 Featuring Cardi B,Girls Like You,Breakup,Hits
238,Kelly Clarkson,My Life Would Suck Without You,Empowering,Hits
239,Kelly Clarkson,My Life Would Suck Without You,Girls Night Out,Hits
240,Kelly Clarkson,My Life Would Suck Without You,Motivation,Hits
241,Kelly Clarkson,My Life Would Suck Without You,Breakup,Hits
242,Kelly Clarkson,My Life Would Suck Without You,In Love,Hits
243,The Black Eyed Peas,Meet Me Halfway,Breakup,Hits
244,The Black Eyed Peas,Meet Me Halfway,Heartache,Hits
245,The Black Eyed Peas,Meet Me Halfway,Night Driving,Hits
246,Rihanna Featuring Jeezy,Hard,Celebration,Hits
247,Rihanna Featuring Jeezy,Hard,Club,Hits
248,Rihanna Featuring Jeezy,Hard,Partying,Hits
249,Rihanna Featuring Jeezy,Hard,TGIF,Hits
250,Rihanna Featuring Jeezy,Hard,Empowering,Hits
251,Rihanna Featuring Jeezy,Hard,Freedom,Hits
252,Rihanna Featuring Jeezy,Hard,Girls Night Out,Hits
253,The Pussycat Dolls,I Hate This Part,Feeling Blue,Hits
254,The Pussycat Dolls,I Hate This Part,Introspection,Hits
255,The Pussycat Dolls,I Hate This Part,Late Night,Hits
256,The Pussycat Dolls,I Hate This Part,Reflection,Hits
257,The Pussycat Dolls,I Hate This Part,Breakup,Hits
258,The Pussycat Dolls,I Hate This Part,In Love,Hits
259,The Pussycat Dolls,I Hate This Part,Loss/Grief,Hits
260,Beyonce,Diva,Girls Night Out,Hits
261,Beyonce,Diva,Partying,Hits
262,Beyonce,Diva,Club,Hits
263,Beyonce,Diva,Sex,Hits
264,Beyonce,Diva,Empowering,Hits
265,P!nk,Sober,Empowering,Hits
266,P!nk,Sober,Girls Night Out,Hits
267,P!nk,Sober,New Love,Hits
268,Mario Featuring Gucci Mane & Sean Garrett,Break Up,Breakup,Hits
269,Mario Featuring Gucci Mane & Sean Garrett,Break Up,In Love,Hits
270,Mario Featuring Gucci Mane & Sean Garrett,Break Up,Late Night,Hits
271,Mario Featuring Gucci Mane & Sean Garrett,Break Up,Seduction,Hits
272,Mario Featuring Gucci Mane & Sean Garrett,Break Up,Sex,Hits
273,Mario Featuring Gucci Mane & Sean Garrett,Break Up,Heartache,Hits
274,Rihanna,Pour It Up,Cool & Cocky,Hits
275,Rihanna,Pour It Up,Drinking,Hits
276,Rihanna,Pour It Up,TGIF,Hits
277,P!nk,Please Don't Leave Me,Breakup,Hits
278,P!nk,Please Don't Leave Me,Empowering,Hits
279,P!nk,Please Don't Leave Me,Freedom,Hits
280,Jason Aldean,Big Green Tractor,In Love,Hits
281,Pitbull,Hotel Room Service,Club,Hits
282,Pitbull,Hotel Room Service,Cool & Cocky,Hits
283,Pitbull,Hotel Room Service,Girls Night Out,Hits
284,Pitbull,Hotel Room Service,Guys Night Out,Hits
285,Pitbull,Hotel Room Service,Partying,Hits
286,Jason Derulo,In My Head,Club,Hits
287,Jason Derulo,In My Head,TGIF,Hits
288,Michael Buble,Haven't Met You Yet,Affection/Fondness,Hits
289,Michael Buble,Haven't Met You Yet,Summer,Hits
290,Pitbull,I Know You Want Me (Calle Ocho),Club,Hits
291,Pitbull,I Know You Want Me (Calle Ocho),Cool & Cocky,Hits
292,Pitbull,I Know You Want Me (Calle Ocho),Girls Night Out,Hits
293,Pitbull,I Know You Want Me (Calle Ocho),Guys Night Out,Hits
294,Pitbull,I Know You Want Me (Calle Ocho),Partying,Hits
295,OneRepublic,Good Life,Affirmation,Hits
296,OneRepublic,Good Life,Comfort,Hits
297,OneRepublic,Good Life,Introspection,Hits
298,OneRepublic,Good Life,Motivation,Hits
299,OneRepublic,Good Life,Relaxation,Hits
300,Kristinia DeBarge,Goodbye,Freedom,Hits
301,Kristinia DeBarge,Goodbye,Girls Night Out,Hits
302,Kristinia DeBarge,Goodbye,Heartache,Hits
303,Cobra Starship Featuring Leighton Meester,Good Girls Go Bad,Celebration,Hits
304,Cobra Starship Featuring Leighton Meester,Good Girls Go Bad,Cool & Cocky,Hits
305,Cobra Starship Featuring Leighton Meester,Good Girls Go Bad,Partying,Hits
306,Lil Pump,Gucci Gang,Day Driving,Hits
307,Lil Pump,Gucci Gang,Hanging Out,Hits
308,Lil Pump,Gucci Gang,Protest,Hits
309,The All-American Rejects,Gives You Hell,Breakup,Hits
310,The All-American Rejects,Gives You Hell,Mischievous,Hits
311,Beyonce,If I Were A Boy,Comfort,Hits
312,Beyonce,If I Were A Boy,Introspection,Hits
313,Beyonce,If I Were A Boy,Reflection,Hits
314,Beyonce,If I Were A Boy,Empowering,Hits
315,Beyonce,If I Were A Boy,Feeling Blue,Hits
316,Beyonce,If I Were A Boy,Girls Night Out,Hits
317,Beyonce,If I Were A Boy,Solitude,Hits
318,Beyonce,If I Were A Boy,Breakup,Hits
319,Ne-Yo,Mad,Breakup,Hits
320,Ne-Yo,Mad,Heartache,Hits
321,Ne-Yo,Mad,In Love,Hits
322,Kelly Clarkson,I Do Not Hook Up,Affirmation,Hits
323,Kelly Clarkson,I Do Not Hook Up,Empowering,Hits
324,Kelly Clarkson,I Do Not Hook Up,Motivation,Hits
325,Kelly Clarkson,I Do Not Hook Up,In Love,Hits
326,Kelly Clarkson,I Do Not Hook Up,Sex,Hits
327,Beyonce,Single Ladies (Put A Ring On It),Girls Night Out,Hits
328,Beyonce,Single Ladies (Put A Ring On It),Partying,Hits
329,Beyonce,Single Ladies (Put A Ring On It),Celebration,Hits
330,Beyonce,Single Ladies (Put A Ring On It),Club,Hits
331,Beyonce,Single Ladies (Put A Ring On It),Mischievous,Hits
332,Beyonce,Single Ladies (Put A Ring On It),Playful,Hits
333,Beyonce,Single Ladies (Put A Ring On It),Sex,Hits
334,Beyonce,Single Ladies (Put A Ring On It),TGIF,Hits
335,Drake,Best I Ever Had,Cool & Cocky,Hits
336,Drake,Best I Ever Had,Guys Night Out,Hits
337,Drake,Best I Ever Had,Seduction,Hits
338,Drake,Best I Ever Had,Sex,Hits
339,"Jay-Z, Rihanna & Kanye West",Run This Town,Celebration,Hits
340,"Jay-Z, Rihanna & Kanye West",Run This Town,Cool & Cocky,Hits
341,"Jay-Z, Rihanna & Kanye West",Run This Town,TGIF,Hits
342,"Jay-Z, Rihanna & Kanye West",Run This Town,Victory,Hits
343,Jeremih,Birthday Sex,In Love,Hits
344,Jeremih,Birthday Sex,Late Night,Hits
345,Jeremih,Birthday Sex,Seduction,Hits
346,Jeremih,Birthday Sex,Sex,Hits
347,Lady Gaga,Paparazzi,Club,Hits
348,Lady Gaga,Paparazzi,Late Night,Hits
349,Lady Gaga,Paparazzi,Seduction,Hits
350,Lady Gaga,Paparazzi,Sex,Hits
351,Beyonce,Sweet Dreams,Heartache,Hits
352,Beyonce,Sweet Dreams,In Love,Hits
353,La Roux,Bulletproof,Club,Hits
354,La Roux,Bulletproof,Girls Night Out,Hits
355,La Roux,Bulletproof,Heartache,Hits
356,La Roux,Bulletproof,Playful,Hits
357,Trey Songz Featuring Fabolous,Say Aah,Celebration,Hits
358,Trey Songz Featuring Fabolous,Say Aah,Club,Hits
359,Trey Songz Featuring Fabolous,Say Aah,Partying,Hits
360,Trey Songz Featuring Fabolous,Say Aah,Seduction,Hits
361,Trey Songz Featuring Fabolous,Say Aah,TGIF,Hits
362,Alessia Cara,Scars To Your Beautiful,Empowering,Hits
363,Alessia Cara,Scars To Your Beautiful,Healing/Comfort,Hits
364,Alessia Cara,Scars To Your Beautiful,Hope,Hits
365,Akon Featuring Colby O'Donis & Kardinal Offishall,Beautiful,Heartache,Hits
366,Akon Featuring Colby O'Donis & Kardinal Offishall,Beautiful,In Love,Hits
367,Akon Featuring Colby O'Donis & Kardinal Offishall,Beautiful,Romantic Evening,Hits
368,The Script,Breakeven,Heartache,Hits
369,The Script,Breakeven,Reflection,Hits
370,The Script,Breakeven,Solitude,Hits
371,The Script,Breakeven,Day Driving,Hits
372,The Script,Breakeven,Hanging Out,Hits
373,twenty one pilots,Ride,Day Driving,Hits
374,twenty one pilots,Ride,Summer,Hits
375,twenty one pilots,Ride,Victory,Hits
376,Billy Currington,People Are Crazy,Drinking,Hits
377,Billy Currington,People Are Crazy,Late Night,Hits
378,Billy Currington,People Are Crazy,Reflection,Hits
379,Rihanna,Love On The Brain,Despair,Hits
380,Rihanna,Love On The Brain,Heartache,Hits
381,Rihanna,Love On The Brain,Pain,Hits
382,Kris Allen,Live Like We're Dying,Relaxation,Hits
