_id	artists	audio_features.acousticness	audio_features.analysis_url	audio_features.danceability	audio_features.duration_ms	audio_features.energy	audio_features.id	audio_features.instrumentalness	audio_features.key	audio_features.liveness	audio_features.loudness	audio_features.mode	audio_features.speechiness	audio_features.tempo	audio_features.time_signature	audio_features.track_href	audio_features.type	audio_features.uri	audio_features.valence	name	tags	type	class
5def6aa254d79fcf0de3ec7e	Shakira	0.289	https://api.spotify.com/v1/audio-analysis/4cS2HQ6jK80vqdY9ofpztx	0.865	188867	0.69	4cS2HQ6jK80vqdY9ofpztx	0.0138	7	0.225	-7.448	1	0.0444	121.983	4	https://api.spotify.com/v1/tracks/4cS2HQ6jK80vqdY9ofpztx	audio_features	spotify:track:4cS2HQ6jK80vqdY9ofpztx	0.868	She Wolf	"['Club', 'Girls Night Out', 'Partying', 'Seduction', 'Sex', 'TGIF']"	Hit	Love
5def6aa254d79fcf0de3ec80	Steven Tyler	0.0631	https://api.spotify.com/v1/audio-analysis/3xuzbqmCALn6Ua8JeOrnZl	0.738	211293	0.952	3xuzbqmCALn6Ua8JeOrnZl	0	6	0.216	-3.386	0	0.0515	122	4	https://api.spotify.com/v1/tracks/3xuzbqmCALn6Ua8JeOrnZl	audio_features	spotify:track:3xuzbqmCALn6Ua8JeOrnZl	0.899	(It) Feels So Good	"['Empowering', 'In Love']"	Non-hit	Love
5def6aa254d79fcf0de3ec83	Kris Allen	0.86	https://api.spotify.com/v1/audio-analysis/2fSsECYZZYs6CnmF7y7rL2	0.425	118556	0.372	2fSsECYZZYs6CnmF7y7rL2	0	11	0.293	-8.324	0	0.043	124.469	4	https://api.spotify.com/v1/tracks/2fSsECYZZYs6CnmF7y7rL2	audio_features	spotify:track:2fSsECYZZYs6CnmF7y7rL2	0.391	Ain't No Sunshine	"['Heartache', 'Breakup', 'D-I-V-O-R-C-E']"	Non-hit	Breakup
5def6aa254d79fcf0de3ec85	The Black Eyed Peas	0.0172	https://api.spotify.com/v1/audio-analysis/5K5LbSTVuKKe1KGMNfBgIW	0.715	268840	0.907	5K5LbSTVuKKe1KGMNfBgIW	0.0000839	7	0.426	-6.025	0	0.0993	124.992	4	https://api.spotify.com/v1/tracks/5K5LbSTVuKKe1KGMNfBgIW	audio_features	spotify:track:5K5LbSTVuKKe1KGMNfBgIW	0.841	Rock That Body	"['Partying', 'TGIF', 'Club', 'Girls Night Out', 'Sex']"	Hit	Love
5def6aa254d79fcf0de3ec86	Lady Gaga	0.12	https://api.spotify.com/v1/audio-analysis/0WfKDYeUAoLA3vdvLKKWMW	0.851	237200	0.806	0WfKDYeUAoLA3vdvLKKWMW	0.00000133	4	0.121	-4.618	1	0.0786	119.001	4	https://api.spotify.com/v1/tracks/0WfKDYeUAoLA3vdvLKKWMW	audio_features	spotify:track:0WfKDYeUAoLA3vdvLKKWMW	0.776	Poker Face	"['Club', 'Girls Night Out', 'Late Night', 'Seduction', 'Sex', 'TGIF']"	Hit	Love
5def6aa254d79fcf0de3ec89	Jazmine Sullivan	0.0788	https://api.spotify.com/v1/audio-analysis/7zqM7Wm2xJLZ50qAnTLoHD	0.576	251200	0.515	7zqM7Wm2xJLZ50qAnTLoHD	0	6	0.118	-6.178	1	0.0295	95.406	3	https://api.spotify.com/v1/tracks/7zqM7Wm2xJLZ50qAnTLoHD	audio_features	spotify:track:7zqM7Wm2xJLZ50qAnTLoHD	0.407	"Lions, Tigers & Bears"	"['Feeling Blue', 'Heartache', 'In Love', 'New Love']"	Non-hit	Love
5def6aa254d79fcf0de3ec8a	Blake Shelton	0.0365	https://api.spotify.com/v1/audio-analysis/4ZTVWCfZewoOYhhIEIrAlT	0.41	239200	0.796	4ZTVWCfZewoOYhhIEIrAlT	0.000156	0	0.307	-4.222	1	0.0326	164.161	4	https://api.spotify.com/v1/tracks/4ZTVWCfZewoOYhhIEIrAlT	audio_features	spotify:track:4ZTVWCfZewoOYhhIEIrAlT	0.342	I'll Just Hold On	"['Breakup', 'Heartache', 'Jealousy', 'Reflection', 'Regret']"	Non-hit	Breakup
5def6aa254d79fcf0de3ec8d	Jennifer Hudson	0.209	https://api.spotify.com/v1/audio-analysis/0o6IWuQ9Uxt69jKdVZ1eg2	0.567	216387	0.777	0o6IWuQ9Uxt69jKdVZ1eg2	0	4	0.106	-3.447	1	0.0448	129.86	4	https://api.spotify.com/v1/tracks/0o6IWuQ9Uxt69jKdVZ1eg2	audio_features	spotify:track:0o6IWuQ9Uxt69jKdVZ1eg2	0.403	If This Isn't Love	"['Freedom', 'In Love', 'New Love']"	Non-hit	Love
5def6aa254d79fcf0de3ec8e	Keith Urban	0.0103	https://api.spotify.com/v1/audio-analysis/4DyKZmONpoggnn3piyjad2	0.653	226733	0.786	4DyKZmONpoggnn3piyjad2	0.00000219	2	0.201	-5.418	1	0.0338	120.992	4	https://api.spotify.com/v1/tracks/4DyKZmONpoggnn3piyjad2	audio_features	spotify:track:4DyKZmONpoggnn3piyjad2	0.477	Kiss A Girl	"['Affection/Fondness', 'New Love', 'Relaxation']"	Non-hit	Love
5def6aa254d79fcf0de3ec8f	Pearl Jam	0.721	https://api.spotify.com/v1/audio-analysis/6i81qFkru6Kj1IEsB7KNp2	0.473	215853	0.348	6i81qFkru6Kj1IEsB7KNp2	0.0000742	0	0.0823	-11.1	1	0.0288	107.819	4	https://api.spotify.com/v1/tracks/6i81qFkru6Kj1IEsB7KNp2	audio_features	spotify:track:6i81qFkru6Kj1IEsB7KNp2	0.283	Just Breathe	"['Affection/Fondness', 'Affirmation', 'Comfort', 'In Love', 'Stay in Bed', 'Sunday Afternoon']"	Non-hit	Love
